non-global in 2022 pool 115
Beenzino | 덤보
Zico | Grown Ass Kid
Zico | Seoul Drift
Epik High | 비 오는 날 듣기 좋은 노래 (Feat. 콜드)
Epik High | Face ID (페이스 아이디) (Feat. 기리보이, Sik-K, JUSTHIS)
Epik High | Super Rare (슈퍼 레어) (Feat. Wonstein, pH-1)
허성현 | 펄펄 (Feat. Dynamic Duo)
Kan | Therapy + 으리으리 (Feat. 호미들)
PH-1 | BUT FOR NOW LEAVE ME ALONE
PH-1 | Zombies
Kid Milli | SUMMER
Coogie | 혼자
Leellamarz | 마지막 기회
Leellamarz | Never Ending Story
Dynamic Duo | ECO
Dynamic Duo | Smoke
Giriboy | Vice Versa
Giriboy | Braille
Ash Island | 안전지대
Ash Island | Malibu Night
Loco | WIN
Loco | Focus
GRAY | Remedy
GRAY | Sweaty (Prod. GRAY) (Feat. 로꼬, Coogie)
GroovyRoom | Whistle (Prod. GroovyRoom) (Feat. 식케이, Mirani)
GroovyRoom | Brought the Heat Back (Feat. 식케이, Paloalto)
The Quiett | Bentley
TOIL | 처음 만났을 때처럼
Mirani | Drama
Woodie Gochild | Channel Surfing
Owen Ovadoz | 119
Punchnello | Loveseat
Colde | Star
Changmo | Just the Two of Us
Heize | Undo
Jessi | Zoom
Zion.T | Lonely Christmas
Lil Moshpit | MOSHPIT ONLY
Lee Young Ji | WITCH (Feat. 밸재범, 황소윤)
JUSTHIS | Signature (Prod. by Alti)
Primary | BILLING
Gaeko | Sturgis
Simon Dominic | Make Her Dance
Nafla | Freestyle
Loopy | Freestyle
Jvcki Wai | Taxi Blurr
Mino | 안녕
Tablo | Stop the Rain
Verbal Jint | Mainstream
Swings | Per se
JJK | Go Back
Baechigi | Shark's Tale
meenoi | What Do You Think?
meenoi | Business boy
CAMO | Life is Wet
CAMO | Freak Like Me
Uneducated Kid | UNEDUCATED KID 2
Epik High | Rich Kids Anthem
Epik High | Family Portrait
Epik High | Champagne
Epik High | Piano for Sale
Zico | Trash Talk
Zico | That Guy
Beenzino | Fashion Hoarder
PH-1 | Mr. Bad
PH-1 | Juliette!
Punchnello | Winter Blossom
Colde | honestly
Lee Young Ji | 낫 쏘리 (Feat. pH-1)
Kid Milli | 가볍게
Coogie | 굿나잇
Leellamarz | 그러지마
Crush | Rush Hour (Feat. j-hope of BTS)
Epik High | Here
Epik High | Prequel
Epik High | Gray So Gray
Epik High | BRB
Epik High | Rain Song
Zico | Being Human
Zico | Curriculum
Zico | OMJT
PH-1 | TGIF
PH-1 | Yuppie Ting
PH-1 | Tipsy
BIG Naughty | Romance Symphony
Sik-K | MOON
DeVita | Flowers
Beenzino | MONET
Zico | 새삥 (Prod. ZICO) (Feat. 호미들)
Epik High | 그래서 그래 (Feat. 윤하)
BIGBANG | 봄여름가을겨울 (Still Life)
Dynamic Duo | Smoke (Prod. Dynamicduo, Padi)
GwangilJo | VVS (비비에스)
Futuristic Swaver | Blue Hawaii
Knoxx | Knoxx Tape
Polodared | Polodared
Hej! | Hej!
Hodaky | Hodaky
Chillin Homie | Chillin Homie
Bluso | Bluso
LeyonC | LeyonC
Hyunsang | Hyunsang
Woo | Woo
Ahn Se-min | Ahn Se-min
NSW yoon | NSW yoon
Kan | Kan
QM | QM
노윤하 | 노윤하
잠비노 | 잠비노
Don Malik | Don Malik
Lee Young Ji | Yumeyo
이영지 | 이영지
JUSTHIS | JUSTHIS
이영지 | 낫 쏘리 (Feat. pH-1)
JUSTHIS | 마이웨이 (MY WAY) (Prod. by Alti)
